system:index,NDSI,NDVI,NDWI,label,subregion,.geo
2_00000000000000000339_0,-0.18118091,0.14161922,-0.17904814,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000033d_0,-0.251775,0.15116748,-0.18480168,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000347_0,-0.13485138,0.18152073,-0.1778329,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000349_0,-0.18286437,0.18594237,-0.20557536,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000034e_0,-0.1698905,0.09721199,-0.14200802,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000034f_0,-0.19351982,0.12044849,-0.17843463,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000352_0,-0.18260072,0.15881823,-0.17037107,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000353_0,-0.20883858,0.13093315,-0.1626673,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000354_0,-0.14957467,0.23276022,-0.22751841,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000035c_0,-0.24693322,0.12657313,-0.17425877,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000035d_0,-0.279117,0.14050439,-0.18087748,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000035e_0,-0.2057508,0.10395785,-0.17324722,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000035f_0,-0.1857569,0.124561965,-0.17086351,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000360_0,-0.13823864,0.21577582,-0.22515573,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000362_0,-0.15806007,0.22429547,-0.24291702,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000363_0,-0.14612338,0.08243975,-0.12643659,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000364_0,-0.18572813,0.09064927,-0.1396378,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000365_0,-0.19456793,0.18558516,-0.21362545,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000367_0,-0.16708815,0.16792817,-0.18517178,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000369_0,-0.1923981,0.07978648,-0.1291921,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000036b_0,-0.1896731,0.16911262,-0.19422258,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000377_0,-0.1778127,0.14012945,-0.16644374,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000037d_0,-0.18567276,0.11575203,-0.17436047,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000037e_0,-0.19731815,0.13131757,-0.15855598,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000037f_0,-0.1515611,0.11627418,-0.13209595,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000385_0,-0.19135371,0.14256322,-0.18178537,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000390_0,-0.18148133,0.19306491,-0.20817648,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003a0_0,-0.16240941,0.13099135,-0.16488612,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003a5_0,-0.25564197,0.10807063,-0.16478969,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003ab_0,-0.23958452,0.1766228,-0.21183869,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003ae_0,-0.19095989,0.10569843,-0.14889207,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003b3_0,-0.17036441,0.11240268,-0.14156277,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003b4_0,-0.19330396,0.1447167,-0.17825335,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003b7_0,-0.19343475,0.16261935,-0.18645851,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003b8_0,-0.19385259,0.13380733,-0.1650985,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003b9_0,-0.23662674,0.14365116,-0.18315785,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003ba_0,-0.2047123,0.14754058,-0.18849163,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003bb_0,-0.18918948,0.13223347,-0.15769269,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003bd_0,-0.15027444,0.16520381,-0.17818867,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003be_0,-0.06890409,0.18023506,-0.17704378,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003bf_0,-0.21580346,0.1488344,-0.17975533,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003c0_0,-0.21277525,0.09780963,-0.14305468,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003c1_0,-0.19306882,0.17264839,-0.18665041,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003c6_0,-0.19353516,0.1765835,-0.19419484,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003c7_0,-0.2206206,0.118640505,-0.16054496,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003c8_0,-0.2677313,0.14533149,-0.1907944,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003ca_0,-0.16695449,0.19418791,-0.21153298,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003ce_0,-0.25287434,0.13135678,-0.16631742,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003cf_0,-0.19236638,0.14626831,-0.1784417,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003d1_0,-0.21282277,0.12076013,-0.17484812,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003d5_0,-0.19279598,0.18784674,-0.21417965,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003d6_0,-0.0722695,0.033831112,-0.06933724,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003d7_0,-0.18942358,0.12777355,-0.17493457,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003d9_0,-0.14233026,0.12588722,-0.15732338,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003da_0,-0.18928155,0.12573169,-0.16648194,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003db_0,-0.19799092,0.2495384,-0.25268117,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003dd_0,-0.17080659,0.25034928,-0.2658495,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003e1_0,-0.20893861,0.122481115,-0.16264386,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003e4_0,-0.16062124,0.13052826,-0.15812725,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003e7_0,-0.18221901,0.15970735,-0.19611819,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003fa_0,-0.19324803,0.19874163,-0.20955114,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003fb_0,-0.19709855,0.14592807,-0.18251055,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003fc_0,-0.20125875,0.14163546,-0.17643079,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003fe_0,-0.1545437,0.12410205,-0.16160172,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000003ff_0,-0.17401995,0.10385697,-0.1430414,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
